Customer Name,Site Name,Customer Code,Date,Transaction type,Process type,Quantity,ID Processed,Total Notes,Total Coins,Total Cash,€ 500,€ 200,€ 100,€ 50,€ 20,€ 10,€ 5,€ 2.00,€ 1.00,€ 0.50,€ 0.20,€ 0.10,€ 0.05,€ 0.02,€ 0.01,Mixed Coin,BIC,IBAN,PAYDAY
DSG Retail Ireland Limited,PC World Jervis Street,2949,09/02/2016,CASH PROCESSED,Standard Processing,1,757028930382,"27,840.00",0.00,"27,840.00",500.00,"1,000.00",700.00,"22,900.00","2,740.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Jervis Street,2949,13/02/2016,CASH PROCESSED,Standard Processing,1,757028930399,"16,850.00",0.00,"16,850.00",0.00,0.00,800.00,"13,750.00","2,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Jervis Street,2949,15/02/2016,CASH PROCESSED,Standard Processing,1,757027380669,"22,650.00",0.00,"22,650.00",500.00,0.00,300.00,"20,650.00","1,200.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Liffey Valley RP,2950,09/02/2016,CASH PROCESSED,Standard Processing,1,757021129806,"14,300.00",0.00,"14,300.00",0.00,0.00,600.00,"11,500.00","2,200.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"PC World Manor West, Tralee",2951,09/02/2016,CASH PROCESSED,Standard Processing,1,757023236144,"20,480.00",0.00,"20,480.00",0.00,0.00,"1,300.00","17,600.00","1,580.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"PC World Manor West, Tralee",2951,16/02/2016,CASH PROCESSED,Standard Processing,1,757021516194,"23,760.00",0.00,"23,760.00",0.00,0.00,300.00,"21,100.00","2,360.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Naas,2952,10/02/2016,CASH PROCESSED,Standard Processing,1,757027260671,"20,400.00",0.00,"20,400.00",0.00,0.00,100.00,"18,900.00","1,400.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Navan,2953,09/02/2016,CASH PROCESSED,Standard Processing,1,757022196005,"12,840.00",0.00,"12,840.00",0.00,0.00,100.00,"11,600.00","1,140.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Sligo,2955,09/02/2016,CASH PROCESSED,Standard Processing,1,757021668251,"15,270.00",0.00,"15,270.00",0.00,0.00,100.00,"13,150.00","1,860.00",160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Waterford,2957,10/02/2016,CASH PROCESSED,Standard Processing,1,760002027008,"11,250.00",0.00,"11,250.00",0.00,0.00,500.00,"9,550.00","1,200.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Waterford,2957,16/02/2016,CASH PROCESSED,Standard Processing,1,760002026995,"10,740.00",0.00,"10,740.00",0.00,0.00,0.00,"8,700.00","2,040.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"PC World Well Park Retail Park, Galway",2958,16/02/2016,CASH PROCESSED,Standard Processing,1,757023275600,"10,950.00",0.00,"10,950.00",0.00,0.00,200.00,"9,850.00",900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PCW/Currys Blanchardstown RP,1332,04/02/2016,CASH PROCESSED,Standard Processing,1,757027419536,"23,860.00",0.00,"23,860.00",0.00,0.00,0.00,"21,700.00","2,160.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PCW/Currys Blanchardstown RP,1332,09/02/2016,CASH PROCESSED,Standard Processing,1,757012235288,"9,170.00",0.00,"9,170.00",0.00,0.00,0.00,"7,950.00","1,220.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PCW/Currys Blanchardstown RP,1332,09/02/2016,CASH PROCESSED,Standard Processing,1,757023275594,"13,850.00",0.00,"13,850.00",0.00,0.00,100.00,"12,050.00","1,700.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
End of Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ISA Version 6.6.0.0 Report Version 1.0 [S4] GSLS",Page -1 of 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
